event,fight,fighter1,fighter2
"

  UFC Fight Night: Grasso vs. Araujo

   ",<200 http://ufcstats.com/fight-details/59695aae245cca73>,http://ufcstats.com/fighter-details/67f272324a030d00,http://ufcstats.com/fighter-details/a495f599e787614f
"

  UFC Fight Night: Grasso vs. Araujo

   ",<200 http://ufcstats.com/fight-details/8252a314c778b8e6>,http://ufcstats.com/fighter-details/c0386644627a7ee5,http://ufcstats.com/fighter-details/cc351e408bbb7d43
"

  UFC Fight Night: Grasso vs. Araujo

   ",<200 http://ufcstats.com/fight-details/860050f211b44d10>,http://ufcstats.com/fighter-details/12585614e0ed2626,http://ufcstats.com/fighter-details/d4270315cbcf2569
"

  UFC Fight Night: Grasso vs. Araujo

   ",<200 http://ufcstats.com/fight-details/b4bbc1b7efa770f5>,http://ufcstats.com/fighter-details/791c8437b341fba5,http://ufcstats.com/fighter-details/11583163f45c7b31
"

  UFC Fight Night: Grasso vs. Araujo

   ",<200 http://ufcstats.com/fight-details/60bd4d2878c85f70>,http://ufcstats.com/fighter-details/e375cb5caf4717b6,http://ufcstats.com/fighter-details/e94085e821bd81de
"

  UFC Fight Night: Grasso vs. Araujo

   ",<200 http://ufcstats.com/fight-details/fac560495e61d34c>,http://ufcstats.com/fighter-details/4461d7e47375a895,http://ufcstats.com/fighter-details/077e3ace32b72be9
"

  UFC Fight Night: Grasso vs. Araujo

   ",<200 http://ufcstats.com/fight-details/84b04e8d6b251c54>,http://ufcstats.com/fighter-details/0641c21bec209472,http://ufcstats.com/fighter-details/776d4262c4da38bf
"

  UFC Fight Night: Dern vs. Yan

   ",<200 http://ufcstats.com/fight-details/d33814971932422a>,http://ufcstats.com/fighter-details/7447e9f28508106a,http://ufcstats.com/fighter-details/c41d426cc7326d1b
"

  UFC Fight Night: Dern vs. Yan

   ",<200 http://ufcstats.com/fight-details/7d0d2cecab358ba1>,http://ufcstats.com/fighter-details/c6aee362c7a7d482,http://ufcstats.com/fighter-details/a8283a4f415e1eb9
"

  UFC Fight Night: Dern vs. Yan

   ",<200 http://ufcstats.com/fight-details/a73e33dfce8fcfd8>,http://ufcstats.com/fighter-details/b9f28e7045fdfce7,http://ufcstats.com/fighter-details/ec23c1be628d8057
"

  UFC Fight Night: Dern vs. Yan

   ",<200 http://ufcstats.com/fight-details/1aedd959f1523a27>,http://ufcstats.com/fighter-details/94426bb170c88115,http://ufcstats.com/fighter-details/da4628f173337902
"

  UFC Fight Night: Dern vs. Yan

   ",<200 http://ufcstats.com/fight-details/330506571d2778b1>,http://ufcstats.com/fighter-details/fb3e61720be4690c,http://ufcstats.com/fighter-details/19c591115a58982c
"

  UFC Fight Night: Dern vs. Yan

   ",<200 http://ufcstats.com/fight-details/63f6af6d5f7b82ad>,http://ufcstats.com/fighter-details/5fa2974cbd18e05c,http://ufcstats.com/fighter-details/b67d6bacc68d4c92
"

  UFC Fight Night: Dern vs. Yan

   ",<200 http://ufcstats.com/fight-details/de93fda66d203c26>,http://ufcstats.com/fighter-details/e9a3aeb207578eea,http://ufcstats.com/fighter-details/98c23cb6da5b3352
"

  UFC Fight Night: Dern vs. Yan

   ",<200 http://ufcstats.com/fight-details/ecc56a86a1eead9d>,http://ufcstats.com/fighter-details/ae7fe94f117f98cf,http://ufcstats.com/fighter-details/5580771f383e141f
"

  UFC Fight Night: Dern vs. Yan

   ",<200 http://ufcstats.com/fight-details/8c9ff13791378784>,http://ufcstats.com/fighter-details/4e06913c91da5200,http://ufcstats.com/fighter-details/2f181c0467965b98
"

  UFC Fight Night: Dern vs. Yan

   ",<200 http://ufcstats.com/fight-details/ad59e2de1ab5c8d2>,http://ufcstats.com/fighter-details/a78a87d8c2bbb1cb,http://ufcstats.com/fighter-details/af9efbfd63d39734
"

  UFC Fight Night: Dern vs. Yan

   ",<200 http://ufcstats.com/fight-details/6c79db79da9ae874>,http://ufcstats.com/fighter-details/d05412b513b19621,http://ufcstats.com/fighter-details/325ad0dd9126d3df
"

  UFC Fight Night: Sandhagen vs. Song

   ",<200 http://ufcstats.com/fight-details/df370b97ea49e6b4>,http://ufcstats.com/fighter-details/65f09bacd3957381,http://ufcstats.com/fighter-details/efb96bf3e9ada36f
"

  UFC Fight Night: Sandhagen vs. Song

   ",<200 http://ufcstats.com/fight-details/bd06f1c2d7e6c4a0>,http://ufcstats.com/fighter-details/c68c68efaa5ca6ef,http://ufcstats.com/fighter-details/d1c65d2cf2925ddd
"

  UFC Fight Night: Sandhagen vs. Song

   ",<200 http://ufcstats.com/fight-details/adb78db5ba8ccc0f>,http://ufcstats.com/fighter-details/8fd808923cffff82,http://ufcstats.com/fighter-details/9abc648e76c4493a
"

  UFC Fight Night: Sandhagen vs. Song

   ",<200 http://ufcstats.com/fight-details/160c17b8fcb0e2a1>,http://ufcstats.com/fighter-details/c1085e1701b13eca,http://ufcstats.com/fighter-details/70fa1c64a2c439ef
